id,open_date,name,location,lat,lon,threat,tags,commodity,measure_skim,measure_shore,measure_bio,measure_disperse,measure_burn,max_ptl_release_gallons,posts,description
10892,10/12/2024,Mystery Sheens Main Pass 81; Gulf of Mexico,Gulf of Mexico,29.2523,-89.084,Oil,,,,,,,,,0,"On December 10, 2024, NOAA received reports of mystery sheens in Main Pass 81 and several miles to the east, south of the Chandeleur Islands.  The largest sheen observation was 34 miles in length.  Related NRC reports: #1418539 and #1418404.  NOAA provided trajectory and assistance identifying possible sources."
10891,22/11/2024,Hilcorp SM214 Spill Marsh Island; Gulf of Mexico,Gulf of Mexico,29.44383333,-91.908,Oil,,,,,,,,,0,"On November 22, 2024, the USCG received reports of a continuous release of crude oil, natural gas, and water from shut-in Hilcorp platform SM214.  The slick/sheen was initially reported to be 7 miles long.  NOAA produced a trajectory"
10825,27/07/2024,Cargo Ship HANS SHULTE Potential Hazmat Release; Gulf of Mexico,Gulf of Mexico,28.68606999,-89.44519043,Chemical,,,,,,,,,0,"On July 27, 2024, the USCG Sector New Orleans received notification of a potential hazmat release aboard the Hong Kong cargo ship HANS SHULTE. The ship is approximately 5nm south of the Louisiana Delta.  The spill was characterized as a white liquid producing a noxious odor.  No impact to the waterway reported.  USCG requested assistance from a NOAA chemist."
10680,24/10/2023,"Satellite Imagery Detects Suspected Oil Spill; SE Gulf of Mexico, NW of Key West, FL",Gulf of Mexico,25.17527778,-84.00722222,Oil,,,,,,,,,0,"On October 24, 2023, the NOAA SSC for Florida was notified by the USCG Sector St Petersburg and USCG D7 regarding high-confidence oil imagery detected by satellite and reported by NOAA NESDIS in SE Gulf of Mexico NW of Key West, FL. USCG expects to overfly the area this morning and requests any updated position reports and trajectory forecast to aid in directing the overflight."
10603,21/04/2023,"Sheen Observed from Unknown Source, Main Pass Area, Gulf of Mexico",Gulf of Mexico,29.2925,-88.76555556,Oil,,,,,,,,,0,"On April 21, 2023, the NOAA Gulf of Mexico RRO was contacted with regard to NRC report #1365308An unknown sheen was about 15 miles east of Pass A Loutre.  Another offshore rig notified the USCG that an unknown sheen (suspected to be crude oil) from an unknown source was drifting past their platform at the incident location. USCG requested a trajectory for the sheen."
10580,10/03/2023,"Loss of Pressure in Crescent Mainstream Pipeline, Gulf of Mexico",Gulf of Mexico,29.19138889,-89.09055556,Oil,,,,,,,,,0,"On March 10, 2023, the USCG received notification that a 16-inch and 20-mile-long section of the Crescent Mainstream pipeline lost pressure.  The line was shut in and an overflight observed a possible 1 mile by 300ft slick in the vicinity of the pipeline.  The USCG requested fate and trajectory."
10560,17/01/2023,"Mystery Spill in Breton Sound, LA","LA, Gulf of Mexico",29.5825,-89.09361,Oil,,crude,,,,,,12,0,"On January 17, 2023, the USCG notified the NOAA SSC of a mystery crude oil discharge in Breton Sound, LA.  The sheen size is 2 miles long by 150 feet wide.  The USCG is concerned about the risk to a couple of islands to the NE of the incident location and requested a trajectory analysis."
10540,21/11/2022,SEACOR MARINE LB ROBERT potential spill; Gulf of Mexico,Gulf of Mexico,28.27388889,-92.10416667,Oil,,Diesel,,,,,,31000,0,"On November 21, 2022, the USCG Marine Safety Unit (MSU) in Houma, LA,  was notified that the liftboat LB ROBERT, owned by SEACOR MARINE and located approximately 73 nautical miles south of Vermillion Bay, was listing to one side. All personnel had been previously evacuated due to inclement weather.  No spill has been reported.  The liftboat has 31,000 gallons of diesel onboard. USCG notified NOAA SSC of the potential threat and requested preparedness for fate/trajectory request."
10489,01/07/2022,"Oil Spill Results from Break in Transmission Line, Gulf of Mexico, LA","Gulf of Mexico, LA",29.24238333,-88.43645556,Oil,,crude,,,,,,24906,0,"On 1 JULY 2022, the NOAA SSC was contacted by USCG Sector New Orleans regarding an oil spill as a result of a break in a transmission line. The release occurred at 2346 on 30 JUNE 2022. Worst case discharge is 593 barrels.  The release has been secured. USCG requested trajectory and RAR."
10472,15/06/2022,"E-Crane Barge Sunk While in Tow, Louisiana Coast, Gulf of Mexico","LA, Gulf of Mexico",29.53487047,-92.57299818,Oil,,lube and diesel,,,,,,2600,0,"On June 15, 2022,  the E-Crane barge AMBITION sank approximately 18 miles south of the Louisiana coast while in tow.  A 200ft sheen was reported.  The worst-case discharge is 1,800 gallons of diesel and 800 gallons of lube oil. The USCG requested NOAA prepared a trajectory for a potential worst-case discharge."
