date,lon,lat,id,pt,sst,sf,at,af
01/01/1996 00:00,144.1,32.6,WATF,5,21.1,1,16.7,1
01/01/1996 00:00,141.4,36.5,MQWU7,5,11.7,1,7.2,1
01/01/1996 00:00,140.7,35,LATI4,5,18.2,1,11,1
01/01/1996 00:00,143,37.2,OWEB2,5,12.9,1,6.2,1
01/01/1996 00:00,149.44,30.19,21573,7,19.4,1,19,1
01/01/1996 01:00,142.1,38.7,MQWU,5,6.5,1,0.6,1
01/01/1996 01:00,149.44,30.19,21573,7,19.4,1,19.5,1
01/01/1996 02:12,146.79,33.14,21903,7,18.2,1,NA,15
01/01/1996 02:13,149.54,30.16,21573,7,19.4,1,19.8,1
01/01/1996 03:00,140.5,34.4,VTFM,5,17,1,16,1
01/01/1996 03:00,149.54,30.16,21573,7,19.4,1,17.3,1
01/01/1996 03:51,146.74,33.13,21903,7,18.2,1,NA,15
01/01/1996 04:00,149.56,30.15,21573,7,19.3,1,17.3,1
01/01/1996 06:00,143,33.2,WATF,5,21.1,1,16.7,1
01/01/1996 06:00,141.3,35.7,OWEB,5,NA,15,9.4,1
01/01/1996 06:00,141.8,37.6,MQWU,5,10.6,1,5,1
01/01/1996 06:00,149.56,30.15,21573,7,19.3,1,14.5,1
01/01/1996 08:00,149.63,30.17,21573,7,19.1,1,14.8,1
01/01/1996 09:40,149.66,30.18,21573,7,19.1,1,15.3,1
01/01/1996 11:00,149.66,30.18,21573,7,19.3,1,15.8,1
01/01/1996 12:00,144.2,35.5,LATI4,5,18.2,1,9,1
01/01/1996 12:00,141.9,33.6,WATF,5,20.6,1,13.3,1
01/01/1996 12:00,149.9,32.6,ELOR2,5,19,1,15.5,1
01/01/1996 12:00,142.1,38.7,MQWU7,5,6.5,1,0.6,1
01/01/1996 13:00,149.81,30.24,21573,7,19.3,1,16.5,1
01/01/1996 14:00,149.81,30.24,21573,7,19.3,1,17.8,1
01/01/1996 14:38,149.66,30.18,21573,7,19.3,1,17,1
01/01/1996 15:00,143.3,34.9,VTFM,5,16,1,10,1
01/01/1996 16:23,149.81,30.24,21573,7,19.3,1,16.3,1
01/01/1996 17:00,149.81,30.24,21573,7,19.3,1,15.5,1
01/01/1996 18:00,140.4,33.5,ZEOE,5,19,1,12,1
01/01/1996 18:00,148.5,32.5,ELOR2,5,19,1,15,1
01/01/1996 18:00,142.3,39.8,MQWU7,5,NA,15,1.5,1
01/01/1996 18:00,149.81,30.24,21573,7,19.3,1,16.8,1
01/01/1996 19:00,149.81,30.24,21573,7,19.3,1,17.5,1
01/01/1996 20:22,149.92,30.24,21573,7,19.3,1,16.8,1
01/01/1996 21:00,149.92,30.24,21573,7,19.3,1,15.5,1
01/01/1996 21:00,144.1,35.5,LATI4,5,18.2,1,9,1
01/01/1996 21:08,144.1,35.5,LATI4,5,18.2,1,9,1
01/01/1996 22:00,149.97,30.24,21573,7,19.3,1,18,1
01/01/1996 23:00,149.97,30.24,21573,7,19.3,1,18.8,1
02/01/1996 00:00,142.1,38.3,3FFJ4,5,8,1,0,1
02/01/1996 00:00,149.97,30.24,21573,7,19.1,1,18.5,1
02/01/1996 00:00,147.1,32.5,ELOR2,5,20,1,18.5,1
02/01/1996 00:00,142.2,33.7,ZEOE,5,19,1,14,1
02/01/1996 00:00,144.6,40,JBKB,5,11,1,3.5,1
02/01/1996 00:00,146,33.4,LATI4,5,18.1,1,12,1
02/01/1996 01:00,142.2,33.7,ZEOE,5,19,1,14,1
02/01/1996 01:00,149.97,30.24,21573,7,19.3,1,17.3,1
02/01/1996 01:58,149.97,30.24,21573,7,19.3,1,17.3,1
02/01/1996 03:00,149.97,30.24,21573,7,19.3,1,17.3,1
02/01/1996 03:00,144.4,39.3,JBKB,5,11,1,5.5,1
02/01/1996 06:00,141.9,30.8,JFYU,5,20,1,15.5,1
02/01/1996 06:00,143.7,38.8,JBKB,5,6,1,6,1
02/01/1996 06:00,143.5,33.9,ZEOE,5,19,1,13,1
02/01/1996 06:00,145.5,32.5,ELOR2,5,20,1,14,1
02/01/1996 06:00,141.2,36.5,3FFJ4,5,12,1,8.5,1
02/01/1996 08:38,146,40.06,49  16760,5,6.7,1,NA,15
02/01/1996 09:00,141.8,31.8,JFYU,5,20,1,14.5,1
02/01/1996 09:00,146,33.4,LATI4,5,18.1,1,12,1
02/01/1996 09:06,145.9,39.97,49  16760,5,8.1,1,NA,15
02/01/1996 09:19,146,33.4,LATI4,5,18.1,1,12,1
02/01/1996 09:35,145.8,39.89,49  16760,5,8.3,1,NA,15
02/01/1996 10:05,145.7,39.8,49  16760,5,8.8,1,NA,15
02/01/1996 10:34,145.6,39.72,49  16760,5,8.8,1,NA,15
02/01/1996 11:02,145.5,39.64,49  16760,5,8.1,1,NA,15
02/01/1996 11:31,145.4,39.56,49  16760,5,6.5,1,NA,15
02/01/1996 11:59,145.3,39.47,49  16760,5,8.7,1,NA,15
02/01/1996 12:00,141.6,32.8,JFYU,5,19,1,14,1
02/01/1996 12:00,142,32.1,PCSV,5,18.8,1,15.5,1
02/01/1996 12:00,144.3,39.3,KGJB,5,9.4,1,2.8,1
02/01/1996 12:00,141.7,30.5,7MEW,5,20,1,15,1
02/01/1996 12:00,148.7,31.7,LATI4,5,18.2,1,13.5,1
02/01/1996 12:00,145,34.1,ZEOE,5,17,1,11.5,1
02/01/1996 12:00,144.3,32.4,ELOR2,5,20,1,14.5,1
02/01/1996 12:27,145.2,39.39,49  16760,5,8.7,1,NA,15
02/01/1996 12:54,145.1,39.31,49  16760,5,7.8,1,NA,15
02/01/1996 13:21,145,39.23,49  16760,5,5.9,1,NA,15
02/01/1996 13:48,144.9,39.15,49  16760,5,5.1,1,NA,15
02/01/1996 14:17,144.8,39.07,49  16760,5,5.2,1,NA,15
02/01/1996 14:47,144.7,38.98,49  16760,5,4.5,1,NA,15
02/01/1996 15:00,141.4,33.8,JFYU,5,19,1,14,1
02/01/1996 15:00,141.6,31.5,7MEW,5,18,1,14.5,1
02/01/1996 15:18,144.6,38.89,49  16760,5,4.2,1,NA,15
02/01/1996 15:50,144.5,38.8,49  16760,5,4.3,1,NA,15
02/01/1996 16:22,144.4,38.71,49  16760,5,4.9,1,NA,15
02/01/1996 16:53,144.3,38.62,49  16760,5,5.4,1,NA,15
02/01/1996 17:24,144.2,38.54,49  16760,5,5.6,1,NA,15
02/01/1996 17:57,144.1,38.44,49  16760,5,10.9,1,NA,15
02/01/1996 18:00,146.6,34.3,ZEOE,5,16,1,11,1
02/01/1996 18:00,142.3,30.9,PCSV,5,19.6,1,17,1
02/01/1996 18:00,141.5,32.7,7MEW,5,18,1,13.5,1
02/01/1996 18:00,142.7,37.6,KGJB,5,8.4,1,5.6,1
02/01/1996 18:32,144,38.34,49  16760,5,9.3,1,NA,15
02/01/1996 19:05,143.9,38.25,49  16760,5,11.2,1,NA,15
02/01/1996 19:37,143.8,38.16,49  16760,5,11.8,1,NA,15
02/01/1996 20:08,143.7,38.08,49  16760,5,10.2,1,NA,15
02/01/1996 20:40,143.6,38,49  16760,5,9.5,1,NA,15
02/01/1996 21:00,148.6,31.7,LATI4,5,18.2,1,13.5,1
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
